code3,country,region,year,visa_free_count
IRL,Ireland,EUROPE,2022,187.0
IRN,Iran,MIDDLE EAST,2020,41.0
IRN,Iran,MIDDLE EAST,2021,41.0
IRN,Iran,MIDDLE EAST,2022,42.0
IRQ,Iraq,MIDDLE EAST,2020,28.0
IRQ,Iraq,MIDDLE EAST,2021,28.0
IRQ,Iraq,MIDDLE EAST,2022,28.0
ISL,Iceland,EUROPE,2020,180.0
ISL,Iceland,EUROPE,2021,180.0
ISL,Iceland,EUROPE,2022,180.0
ISR,Israel,MIDDLE EAST,2020,160.0
ISR,Israel,MIDDLE EAST,2021,158.0
ISR,Israel,MIDDLE EAST,2022,159.0
ITA,Italy,EUROPE,2020,188.0
ITA,Italy,EUROPE,2021,189.0
ITA,Italy,EUROPE,2022,189.0
JAM,Jamaica,CARIBBEAN,2020,86.0
JAM,Jamaica,CARIBBEAN,2021,85.0
JAM,Jamaica,CARIBBEAN,2022,85.0
JOR,Jordan,MIDDLE EAST,2020,51.0
JOR,Jordan,MIDDLE EAST,2021,50.0
JOR,Jordan,MIDDLE EAST,2022,52.0
JPN,Japan,ASIA,2020,191.0
JPN,Japan,ASIA,2021,192.0
JPN,Japan,ASIA,2022,192.0
KAZ,Kazakhstan,ASIA,2020,75.0
KAZ,Kazakhstan,ASIA,2021,74.0
KAZ,Kazakhstan,ASIA,2022,75.0
KEN,Kenya,AFRICA,2020,72.0
KEN,Kenya,AFRICA,2021,72.0
KEN,Kenya,AFRICA,2022,72.0
KGZ,Kyrgyzstan,ASIA,2020,63.0
KGZ,Kyrgyzstan,ASIA,2021,62.0
KGZ,Kyrgyzstan,ASIA,2022,63.0
KHM,Cambodia,ASIA,2020,54.0
KHM,Cambodia,ASIA,2021,53.0
KHM,Cambodia,ASIA,2022,53.0
KIR,Kiribati,OCEANIA,2020,123.0
KIR,Kiribati,OCEANIA,2021,123.0
KIR,Kiribati,OCEANIA,2022,123.0
KNA,St. Kitts and Nevis,CARIBBEAN,2020,156.0
KNA,St. Kitts and Nevis,CARIBBEAN,2021,157.0
KNA,St. Kitts and Nevis,CARIBBEAN,2022,157.0
KOR,South Korea,ASIA,2020,189.0
KOR,South Korea,ASIA,2021,190.0
KOR,South Korea,ASIA,2022,190.0
KOS,Kosovo,EUROPE,2020,40.0
KOS,Kosovo,EUROPE,2021,40.0
KOS,Kosovo,EUROPE,2022,40.0
KWT,Kuwait,MIDDLE EAST,2020,96.0
KWT,Kuwait,MIDDLE EAST,2021,95.0
KWT,Kuwait,MIDDLE EAST,2022,95.0
LAO,Laos,ASIA,2020,50.0
LAO,Laos,ASIA,2021,49.0
LAO,Laos,ASIA,2022,50.0
LBN,Lebanon,MIDDLE EAST,2020,40.0
LBN,Lebanon,MIDDLE EAST,2021,41.0
LBN,Lebanon,MIDDLE EAST,2022,41.0
LBR,Liberia,AFRICA,2020,49.0
LBR,Liberia,AFRICA,2021,49.0
LBR,Liberia,AFRICA,2022,49.0
LBY,Libya,AFRICA,2020,38.0
LBY,Libya,AFRICA,2021,40.0
LBY,Libya,AFRICA,2022,40.0
LCA,St. Lucia,CARIBBEAN,2020,146.0
LCA,St. Lucia,CARIBBEAN,2021,146.0
LCA,St. Lucia,CARIBBEAN,2022,146.0
LIE,Liechtenstein,EUROPE,2020,178.0
LIE,Liechtenstein,EUROPE,2021,178.0
LIE,Liechtenstein,EUROPE,2022,178.0
LKA,Sri Lanka,ASIA,2020,42.0
LKA,Sri Lanka,ASIA,2021,41.0
LKA,Sri Lanka,ASIA,2022,41.0
LSO,Lesotho,AFRICA,2020,76.0
LSO,Lesotho,AFRICA,2021,77.0
LSO,Lesotho,AFRICA,2022,77.0
LTU,Lithuania,EUROPE,2020,181.0
LTU,Lithuania,EUROPE,2021,182.0
LTU,Lithuania,EUROPE,2022,182.0
LUX,Luxembourg,EUROPE,2020,188.0
LUX,Luxembourg,EUROPE,2021,189.0
LUX,Luxembourg,EUROPE,2022,189.0
LVA,Latvia,EUROPE,2020,180.0
LVA,Latvia,EUROPE,2021,181.0
LVA,Latvia,EUROPE,2022,181.0
MAC,Macao (SAR China),ASIA,2020,144.0
MAC,Macao (SAR China),ASIA,2021,144.0
MAC,Macao (SAR China),ASIA,2022,144.0
MAR,Morocco,AFRICA,2020,64.0
MAR,Morocco,AFRICA,2021,63.0
MAR,Morocco,AFRICA,2022,64.0
MCO,Monaco,EUROPE,2020,174.0
MCO,Monaco,EUROPE,2021,174.0
MCO,Monaco,EUROPE,2022,174.0
MDA,Moldova,EUROPE,2020,120.0
MDA,Moldova,EUROPE,2021,120.0
MDA,Moldova,EUROPE,2022,120.0
MDG,Madagascar,AFRICA,2020,55.0
MDG,Madagascar,AFRICA,2021,55.0
MDG,Madagascar,AFRICA,2022,55.0
MDV,Maldives,ASIA,2020,85.0
MDV,Maldives,ASIA,2021,87.0
MDV,Maldives,ASIA,2022,88.0
MEX,Mexico,AMERICAS,2020,159.0
MEX,Mexico,AMERICAS,2021,158.0
MEX,Mexico,AMERICAS,2022,159.0
MHL,Marshall Islands,OCEANIA,2020,123.0
MHL,Marshall Islands,OCEANIA,2021,122.0
MHL,Marshall Islands,OCEANIA,2022,122.0
MKD,North Macedonia,EUROPE,2020,124.0
MKD,North Macedonia,EUROPE,2021,125.0
MKD,North Macedonia,EUROPE,2022,125.0
MLI,Mali,AFRICA,2020,54.0
MLI,Mali,AFRICA,2021,54.0
MLI,Mali,AFRICA,2022,54.0
MLT,Malta,EUROPE,2020,184.0
MLT,Malta,EUROPE,2021,185.0
MLT,Malta,EUROPE,2022,185.0
MMR,Myanmar,ASIA,2020,47.0
MMR,Myanmar,ASIA,2021,46.0
MMR,Myanmar,ASIA,2022,46.0
MNE,Montenegro,EUROPE,2020,124.0
MNE,Montenegro,EUROPE,2021,123.0
MNE,Montenegro,EUROPE,2022,123.0
MNG,Mongolia,ASIA,2020,62.0
MNG,Mongolia,ASIA,2021,61.0
MNG,Mongolia,ASIA,2022,61.0
MOZ,Mozambique,AFRICA,2020,62.0
MOZ,Mozambique,AFRICA,2021,62.0
MOZ,Mozambique,AFRICA,2022,62.0
MRT,Mauritania,AFRICA,2020,59.0
MRT,Mauritania,AFRICA,2021,59.0
MRT,Mauritania,AFRICA,2022,59.0
MUS,Mauritius,AFRICA,2020,148.0
MUS,Mauritius,AFRICA,2021,146.0
MUS,Mauritius,AFRICA,2022,146.0
MWI,Malawi,AFRICA,2020,73.0
MWI,Malawi,AFRICA,2021,73.0
MWI,Malawi,AFRICA,2022,73.0
MYS,Malaysia,ASIA,2020,178.0
MYS,Malaysia,ASIA,2021,179.0
MYS,Malaysia,ASIA,2022,179.0
NAM,Namibia,AFRICA,2020,77.0
NAM,Namibia,AFRICA,2021,78.0
NAM,Namibia,AFRICA,2022,78.0
NER,Niger,AFRICA,2020,54.0
NER,Niger,AFRICA,2021,53.0
NER,Niger,AFRICA,2022,53.0
NGA,Nigeria,AFRICA,2020,46.0
NGA,Nigeria,AFRICA,2021,45.0
NGA,Nigeria,AFRICA,2022,45.0
NIC,Nicaragua,AMERICAS,2020,129.0
NIC,Nicaragua,AMERICAS,2021,126.0
NIC,Nicaragua,AMERICAS,2022,127.0
NLD,Netherlands,EUROPE,2020,186.0
NLD,Netherlands,EUROPE,2021,187.0
NLD,Netherlands,EUROPE,2022,188.0
NOR,Norway,EUROPE,2020,185.0
NOR,Norway,EUROPE,2021,185.0
NOR,Norway,EUROPE,2022,186.0
NPL,Nepal,ASIA,2020,38.0
NPL,Nepal,ASIA,2021,37.0
NPL,Nepal,ASIA,2022,37.0
NRU,Nauru,OCEANIA,2020,89.0
NRU,Nauru,OCEANIA,2021,89.0
NRU,Nauru,OCEANIA,2022,89.0
NZL,New Zealand,OCEANIA,2020,185.0
NZL,New Zealand,OCEANIA,2021,186.0
NZL,New Zealand,OCEANIA,2022,186.0
OMN,Oman,MIDDLE EAST,2020,80.0
OMN,Oman,MIDDLE EAST,2021,80.0
OMN,Oman,MIDDLE EAST,2022,80.0
