code3,country,region,year,max_delta,max_abs_delta,vfc_end,vfc_start,ov_delta,ov_abs_delta
SDN,Sudan,AFRICA,2007,4.5,4.5,41.0,17.0,24.0,24.0
SEN,Senegal,AFRICA,2007,5.5,5.5,56.0,37.0,19.0,19.0
SGP,Singapore,ASIA,2018,16.0,16.0,192.0,122.0,70.0,70.0
SLB,Solomon Islands,OCEANIA,2017,30.0,30.0,131.0,54.0,77.0,77.0
SLE,Sierra Leone,AFRICA,2015,-16.0,16.0,63.0,47.0,16.0,16.0
SLV,El Salvador,AMERICAS,2018,17.0,17.0,133.0,81.0,52.0,52.0
SMR,San Marino,EUROPE,2011,13.0,13.0,169.0,109.0,60.0,60.0
SOM,Somalia,AFRICA,2007,5.0,5.0,34.0,15.0,19.0,19.0
SRB,Serbia,EUROPE,2009,19.0,19.0,135.0,32.0,103.0,103.0
SSD,South Sudan,AFRICA,2010,30.0,30.0,44.0,0.0,44.0,44.0
STP,Sao Tome and Principe,AFRICA,2007,7.5,7.5,60.0,22.0,38.0,38.0
SUR,Suriname,AMERICAS,2007,8.5,8.5,77.0,40.0,37.0,37.0
SVK,Slovakia,EUROPE,2007,16.5,16.5,182.0,97.0,85.0,85.0
SVN,Slovenia,EUROPE,2007,17.0,17.0,181.0,105.0,76.0,76.0
SWE,Sweden,EUROPE,2007,13.0,13.0,187.0,129.0,58.0,58.0
SWZ,eSwatini,AFRICA,2007,6.5,6.5,74.0,46.0,28.0,28.0
SYC,Seychelles,AFRICA,2009,21.0,21.0,152.0,52.0,100.0,100.0
SYR,Syria,MIDDLE EAST,2007,7.0,7.0,29.0,16.0,13.0,13.0
TCD,Chad,AFRICA,2011,41.0,41.0,53.0,0.0,53.0,53.0
TGO,Togo,AFRICA,2007,4.0,4.0,54.0,35.0,19.0,19.0
THA,Thailand,ASIA,2007,11.5,11.5,79.0,29.0,50.0,50.0
TJK,Tajikistan,ASIA,2007,8.5,8.5,58.0,27.0,31.0,31.0
TKM,Turkmenistan,ASIA,2007,9.5,9.5,52.0,19.0,33.0,33.0
TLS,Timor-Leste,ASIA,2018,98.0,98.0,93.0,0.0,93.0,93.0
TON,Tonga,OCEANIA,2016,30.0,30.0,129.0,46.0,83.0,83.0
TTO,Trinidad and Tobago,CARIBBEAN,2015,23.0,23.0,150.0,66.0,84.0,84.0
TUN,Tunisia,AFRICA,2007,8.5,8.5,71.0,38.0,33.0,33.0
TUR,Türkiye,EUROPE,2007,11.5,11.5,110.0,52.0,58.0,58.0
TUV,Tuvalu,OCEANIA,2017,28.0,28.0,127.0,50.0,77.0,77.0
TWN,Taiwan (Chinese Taipei),ASIA,2011,51.0,51.0,145.0,42.0,103.0,103.0
TZA,Tanzania,AFRICA,2007,6.5,6.5,72.0,41.0,31.0,31.0
UGA,Uganda,AFRICA,2007,7.0,7.0,67.0,39.0,28.0,28.0
UKR,Ukraine,EUROPE,2018,46.0,46.0,136.0,32.0,104.0,104.0
URY,Uruguay,AMERICAS,2018,16.0,16.0,153.0,99.0,54.0,54.0
USA,United States,AMERICAS,2018,14.0,14.0,185.0,130.0,55.0,55.0
UZB,Uzbekistan,ASIA,2007,8.5,8.5,56.0,24.0,32.0,32.0
VAT,Vatican City,EUROPE,2010,112.0,112.0,153.0,0.0,153.0,153.0
VCT,St. Vincent and the Grenadines,CARIBBEAN,2015,25.0,25.0,151.0,64.0,87.0,87.0
VEN,Venezuela,AMERICAS,2007,9.5,9.5,129.0,92.0,37.0,37.0
VNM,Vietnam,ASIA,2007,7.5,7.5,53.0,18.0,35.0,35.0
VUT,Vanuatu,OCEANIA,2015,24.0,24.0,135.0,47.0,88.0,88.0
WSM,Samoa,OCEANIA,2015,24.0,24.0,131.0,49.0,82.0,82.0
YEM,Yemen,MIDDLE EAST,2007,6.0,6.0,33.0,18.0,15.0,15.0
ZAF,South Africa,AFRICA,2007,11.5,11.5,103.0,65.0,38.0,38.0
ZMB,Zambia,AFRICA,2007,6.0,6.0,71.0,45.0,26.0,26.0
ZWE,Zimbabwe,AFRICA,2007,5.5,5.5,65.0,41.0,24.0,24.0
