region,year,mean_vfc_unweighted,sum_pop,sum_wvfc,mean_vfc_weighted
ASIA,2023,86.6875,4371175496,312769560291.0,71.55273463104169
ASIA,2024,88.46875,4395355705,327847409720.0,74.58950577015928
CARIBBEAN,2006,54.07692307692308,35038351,1060157531.0,30.25706121272659
CARIBBEAN,2007,63.26923076923077,35344904,1341221860.5,37.946682794781395
CARIBBEAN,2008,72.46153846153847,35650055,1626998412.0,45.63803371411348
CARIBBEAN,2009,79.96153846153847,35955183,1770158452.0,49.23235829449123
CARIBBEAN,2010,87.46153846153847,36223357,1914197254.0,52.844280942818195
CARIBBEAN,2011,91.84615384615384,36493977,1961160862.0,53.739302296376195
CARIBBEAN,2012,92.53846153846153,36800897,2059904374.0,55.97429796344366
CARIBBEAN,2013,94.84615384615384,37095063,2197957779.0,59.25202981863112
CARIBBEAN,2014,96.84615384615384,37376308,2255785919.0,60.35336392775873
CARIBBEAN,2015,105.23076923076923,37653120,2219390305.0,58.94306514307446
CARIBBEAN,2016,108.15384615384616,37923737,2311341967.0,60.94710463264736
CARIBBEAN,2017,109.92307692307692,38178936,2383911053.0,62.44047903797005
CARIBBEAN,2018,123.3076923076923,38427993,2641971319.0,68.75121786870316
CARIBBEAN,2019,122.6923076923077,38669195,2601550902.0,67.27708973512378
CARIBBEAN,2020,124.38461538461539,38907933,2636755166.0,67.76908878711187
CARIBBEAN,2021,124.76923076923077,39108355,2656597010.0,67.92914225106118
CARIBBEAN,2022,125.0,39283080,2688651227.0,68.4429842822915
CARIBBEAN,2023,126.0,39481939,2731131416.0,69.17419673841246
CARIBBEAN,2024,128.0,39675542,2858970214.0,72.05875634918863
EUROPE,2006,86.57142857142857,814850926,72830898423.0,89.37941419606364
EUROPE,2007,98.39795918367346,816544945,83377837881.5,102.11053095368804
EUROPE,2008,110.22448979591837,819250567,94035886856.0,114.78281571454805
EUROPE,2009,114.54081632653062,821821379,99447302027.0,121.00841444160093
EUROPE,2010,123.65306122448979,824076074,104948048055.0,127.35237845893339
EUROPE,2011,134.0204081632653,825073595,111719776404.0,135.40583177189183
EUROPE,2012,131.26530612244898,827525984,111145282805.0,134.3103237287592
EUROPE,2013,136.22448979591837,829792136,114046563232.0,137.43991812426626
EUROPE,2014,139.71428571428572,832266773,117082334830.0,140.67885277693287
EUROPE,2015,139.71428571428572,834998902,117461957381.0,140.67318783252725
EUROPE,2016,143.3469387755102,837792818,120552465426.0,143.8929325197438
EUROPE,2017,143.73469387755102,840020165,120914814153.0,143.94275184215368
EUROPE,2018,160.53061224489795,842359820,133524562654.0,158.51250200181676
EUROPE,2019,160.0612244897959,844269281,133132391457.0,157.6894889499124
EUROPE,2020,161.16326530612244,844638915,133999489315.0,158.64707028683375
EUROPE,2021,162.0408163265306,843964488,134790697443.0,159.7113378104601
EUROPE,2022,162.3877551020408,842863239,135338788380.0,160.5702824820908
EUROPE,2023,162.83673469387756,841992017,135497468385.0,160.92488485552946
EUROPE,2024,167.51020408163265,843339749,139415015474.0,165.31298997742368
MIDDLE EAST,2006,29.6,203236035,4311766262.0,21.2155598390807
MIDDLE EAST,2007,35.93333333333333,208968702,5634169068.5,26.961784298684115
MIDDLE EAST,2008,42.266666666666666,214535767,7020891477.0,32.72597187489021
MIDDLE EAST,2009,47.1,219987636,8207903123.5,37.310747425368945
MIDDLE EAST,2010,51.93333333333333,223890426,9351794430.0,41.76951465535199
MIDDLE EAST,2011,55.06666666666667,229484910,10020521099.0,43.66527236583878
MIDDLE EAST,2012,56.2,235332225,10576942988.0,44.94472861929555
MIDDLE EAST,2013,59.06666666666667,241398406,11515236870.0,47.70220756967219
MIDDLE EAST,2014,60.2,246597005,11888823928.0,48.21155037142483
MIDDLE EAST,2015,61.266666666666666,252491851,11960448724.0,47.36964253155244
MIDDLE EAST,2016,64.0,258004619,12560423575.0,48.68294073060762
MIDDLE EAST,2017,62.53333333333333,262161279,12470565261.0,47.56829577795888
MIDDLE EAST,2018,71.13333333333334,265462160,14227957778.0,53.59693365713592
MIDDLE EAST,2019,70.93333333333334,269542606,13870967887.0,51.46113296463417
MIDDLE EAST,2020,72.33333333333333,274714499,14435681917.0,52.54794329949072
MIDDLE EAST,2021,72.66666666666667,277566794,14567405482.0,52.48252239423135
MIDDLE EAST,2022,73.06666666666666,284603006,15132088903.0,53.16911130235919
MIDDLE EAST,2023,74.66666666666667,292182221,15974507674.0,54.673099613408716
MIDDLE EAST,2024,78.46666666666667,299400719,17222140836.0,57.52204234352557
OCEANIA,2006,50.57142857142857,33577551,3354191272.0,99.89386277754444
OCEANIA,2007,59.5,34232997,3872791243.5,113.13035909476463
OCEANIA,2008,68.42857142857143,34932740,4414869392.0,126.3819955720622
OCEANIA,2009,71.39285714285714,35663147,4630210552.0,129.83179953244172
OCEANIA,2010,78.64285714285714,36305372,4842934608.0,133.39443562236465
OCEANIA,2011,81.5,36904269,5161146760.0,139.85229622079765
OCEANIA,2012,82.5,37574879,5195373021.0,138.26719231750553
OCEANIA,2013,85.64285714285714,38255858,5419939596.0,141.67606947934615
OCEANIA,2014,88.28571428571429,38929965,5575059457.0,143.2074099475815
OCEANIA,2015,90.42857142857143,39614630,5658511278.0,142.8389278910342
OCEANIA,2016,93.64285714285714,40344519,5803270465.0,143.84284678174004
OCEANIA,2017,104.85714285714286,41094901,5956992173.0,144.9569661452646
OCEANIA,2018,125.07142857142857,41800380,6529838955.0,156.21482280783093
OCEANIA,2019,124.71428571428571,42491692,6581264405.0,154.88355711982473
OCEANIA,2020,125.57142857142857,43150716,6781889525.0,157.16748535528356
OCEANIA,2021,125.92857142857143,43435101,6799700577.0,156.54851538160347
OCEANIA,2022,126.0,43990717,6906830887.0,157.00655406457685
OCEANIA,2023,124.07142857142857,44976636,7068148297.0,157.15155524303773
OCEANIA,2024,125.57142857142857,45842278,7356928606.0,160.48348657542715
